WKT_,WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (108.98861 -7.57417)",POINT (108.98861 -7.57417),3301.0,330.0,KABUPATEN CILACAP,KABUPATEN CILACAP,-7.57417,108.98861
"POINT (109.16667 -7.45)",POINT (109.16667 -7.45),3302.0,330.0,KABUPATEN BANYUMAS,KABUPATEN BANYUMAS,-7.45,109.16667
"POINT (109.35028 -7.28417)",POINT (109.35028 -7.28417),3303.0,330.0,KABUPATEN PURBALINGGA,KABUPATEN PURBALINGGA,-7.28417,109.35028
"POINT (109.5875 -7.35111)",POINT (109.5875 -7.35111),3304.0,330.0,KABUPATEN BANJARNEGARA,KABUPATEN BANJARNEGARA,-7.35111,109.5875
"POINT (109.66056 -7.63917)",POINT (109.66056 -7.63917),3305.0,330.0,KABUPATEN KEBUMEN,KABUPATEN KEBUMEN,-7.63917,109.66056
"POINT (109.96667 -7.7)",POINT (109.96667 -7.7),3306.0,330.0,KABUPATEN PURWOREJO,KABUPATEN PURWOREJO,-7.7,109.96667
"POINT (109.92667 -7.36139)",POINT (109.92667 -7.36139),3307.0,330.0,KABUPATEN WONOSOBO,KABUPATEN WONOSOBO,-7.36139,109.92667
"POINT (110.16194 -7.4275)",POINT (110.16194 -7.4275),3308.0,330.0,KABUPATEN MAGELANG,KABUPATEN MAGELANG,-7.4275,110.16194
"POINT (110.7 -7.5)",POINT (110.7 -7.5),3309.0,330.0,KABUPATEN BOYOLALI,KABUPATEN BOYOLALI,-7.5,110.7
"POINT (110.61667 -7.68333)",POINT (110.61667 -7.68333),3310.0,330.0,KABUPATEN KLATEN,KABUPATEN KLATEN,-7.68333,110.61667
"POINT (110.83333 -7.68333)",POINT (110.83333 -7.68333),3311.0,330.0,KABUPATEN SUKOHARJO,KABUPATEN SUKOHARJO,-7.68333,110.83333
"POINT (111.0 -7.91667)",POINT (111.0 -7.91667),3312.0,330.0,KABUPATEN WONOGIRI,KABUPATEN WONOGIRI,-7.91667,111
"POINT (111.0625 -7.62806)",POINT (111.0625 -7.62806),3313.0,330.0,KABUPATEN KARANGANYAR,KABUPATEN KARANGANYAR,-7.62806,111.0625
"POINT (110.935 -7.41278)",POINT (110.935 -7.41278),3314.0,330.0,KABUPATEN SRAGEN,KABUPATEN SRAGEN,-7.41278,110.935
"POINT (110.91667 -7.11667)",POINT (110.91667 -7.11667),3315.0,330.0,KABUPATEN GROBOGAN,KABUPATEN GROBOGAN,-7.11667,110.91667
"POINT (111.38333 -7.06667)",POINT (111.38333 -7.06667),3316.0,330.0,KABUPATEN BLORA,KABUPATEN BLORA,-7.06667,111.38333
"POINT (111.46667 -6.78333)",POINT (111.46667 -6.78333),3317.0,330.0,KABUPATEN REMBANG,KABUPATEN REMBANG,-6.78333,111.46667
"POINT (111.1 -6.76667)",POINT (111.1 -6.76667),3318.0,330.0,KABUPATEN PATI,KABUPATEN PATI,-6.76667,111.1
"POINT (110.86667 -6.8)",POINT (110.86667 -6.8),3319.0,330.0,KABUPATEN KUDUS,KABUPATEN KUDUS,-6.8,110.86667
"POINT (110.76667 -6.58333)",POINT (110.76667 -6.58333),3320.0,330.0,KABUPATEN JEPARA,KABUPATEN JEPARA,-6.58333,110.76667
"POINT (110.6122 -6.8993)",POINT (110.6122 -6.8993),3321.0,330.0,KABUPATEN DEMAK,KABUPATEN DEMAK,-6.8993,110.6122
"POINT (110.44139 -7.20667)",POINT (110.44139 -7.20667),3322.0,330.0,KABUPATEN SEMARANG,KABUPATEN SEMARANG,-7.20667,110.44139
"POINT (110.11667 -7.25)",POINT (110.11667 -7.25),3323.0,330.0,KABUPATEN TEMANGGUNG,KABUPATEN TEMANGGUNG,-7.25,110.11667
"POINT (110.1685 -7.0256)",POINT (110.1685 -7.0256),3324.0,330.0,KABUPATEN KENDAL,KABUPATEN KENDAL,-7.0256,110.1685
"POINT (109.88333 -7.03333)",POINT (109.88333 -7.03333),3325.0,330.0,KABUPATEN BATANG,KABUPATEN BATANG,-7.03333,109.88333
"POINT (109.624 -7.0319)",POINT (109.624 -7.0319),3326.0,330.0,KABUPATEN PEKALONGAN,KABUPATEN PEKALONGAN,-7.0319,109.624
"POINT (109.4 -7.03333)",POINT (109.4 -7.03333),3327.0,330.0,KABUPATEN PEMALANG,KABUPATEN PEMALANG,-7.03333,109.4
"POINT (109.16667 -7.03333)",POINT (109.16667 -7.03333),3328.0,330.0,KABUPATEN TEGAL,KABUPATEN TEGAL,-7.03333,109.16667
"POINT (108.9 -7.05)",POINT (108.9 -7.05),3329.0,330.0,KABUPATEN BREBES,KABUPATEN BREBES,-7.05,108.9
"POINT (110.225 -7.5)",POINT (110.225 -7.5),3371.0,330.0,KOTA MAGELANG,KOTA MAGELANG,-7.5,110.225
"POINT (110.81667 -7.55)",POINT (110.81667 -7.55),3372.0,330.0,KOTA SURAKARTA,KOTA SURAKARTA,-7.55,110.81667
"POINT (110.5086973218211 -7.330965264770849)",POINT (110.5086973218211 -7.330965264770849),3373.0,330.0,KOTA SALATIGA,KOTA SALATIGA,-7.330965264770849,110.5086973218211
"POINT (110.4119427199277 -6.981368437229428)",POINT (110.4119427199277 -6.981368437229428),3374.0,330.0,KOTA SEMARANG,KOTA SEMARANG,-6.981368437229428,110.4119427199277
"POINT (109.68333 -6.9)",POINT (109.68333 -6.9),3375.0,330.0,KOTA PEKALONGAN,KOTA PEKALONGAN,-6.9,109.68333
"POINT (109.1129 -6.8686)",POINT (109.1129 -6.8686),3376.0,330.0,KOTA TEGAL,KOTA TEGAL,-6.8686,109.1129
